severity,type,component,line,rule,message,status,effort
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/config/DefaultConsoleTenantConfigPackageExcelApplicationService.java,398,java:S1192,"Define a constant instead of duplicating this literal ""error.common.invalid_argument_detail"" 4 times.",OPEN,10min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/web/response/ConsoleRetryFailedPartitionsResponse.java,22,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""integerValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/service/governance/DefaultCompensationService.java,294,java:S1192,"Define a constant instead of duplicating this literal ""reason"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,sdk/java/core/src/main/java/io/github/pinpols/batch/sdk/dispatcher/TaskDispatcher.java,346,java:S1192,"Define a constant instead of duplicating this literal ""partitionInvocationId"" 4 times.",OPEN,10min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/infrastructure/scheduler/BatchDaySettleScheduler.java,255,java:S3776,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,OPEN,6min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/config/DefaultConsoleConfigApplicationService.java,222,java:S1192,"Define a constant instead of duplicating this literal ""secretRef"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/infrastructure/DefaultConsoleNotificationApplicationService.java,71,java:S1192,Use already-defined constant 'CHANNEL_TYPE_WEBHOOK' instead of duplicating its value here.,OPEN,4min
CRITICAL,CODE_SMELL,batch-worker/import/src/main/java/io/github/pinpols/batch/worker/imports/infrastructure/quality/DatasetRuleEvaluator.java,214,java:S3776,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,OPEN,9min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/excel/ConfigPackageExcelValidator.java,454,java:S1192,Use already-defined constant 'COL_CHANNEL_NAME' instead of duplicating its value here.,OPEN,4min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/excel/ConfigPackageExcelValidator.java,772,java:S1192,Use already-defined constant 'COL_WORKFLOW_VERSION' instead of duplicating its value here.,OPEN,6min
CRITICAL,CODE_SMELL,batch-worker/atomic/src/main/java/io/github/pinpols/batch/worker/atomic/storedproc/StoredProcTaskExecutor.java,136,java:S1192,Use already-defined constant 'PARAM_TIMEOUT' instead of duplicating its value here.,OPEN,4min
CRITICAL,CODE_SMELL,batch-worker/core/src/main/java/io/github/pinpols/batch/worker/core/infrastructure/HttpTaskExecutionClient.java,482,java:S3776,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,OPEN,6min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/infrastructure/archive/ArchiveSchemaDriftCheck.java,158,java:S1192,"Define a constant instead of duplicating this literal "" cold="" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/web/response/ConsoleNotificationTestResultResponse.java,35,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""stringValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/excel/ConfigPackageExcelValidator.java,459,java:S1192,Use already-defined constant 'COL_CONFIG_JSON' instead of duplicating its value here.,OPEN,4min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/service/TwilioSmsProvider.java,61,java:S3776,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,OPEN,9min
CRITICAL,VULNERABILITY,batch-worker/import/src/main/java/io/github/pinpols/batch/worker/imports/stage/format/ExcelFormatParser.java,,java:S5443,Make sure publicly writable directories are used safely here.,CLOSED,30min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/web/response/ConsoleAlertRoutingResponse.java,58,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""integerValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/web/response/ConsoleNotificationDeliveryLogResponse.java,51,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""instantValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-worker/export/src/main/java/io/github/pinpols/batch/worker/exports/stage/StoreStep.java,121,java:S1192,"Define a constant instead of duplicating this literal ""objectName"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/web/response/ConsoleNotificationChannelResponse.java,40,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""stringValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/excel/ConfigPackageExcelWorkbookWriter.java,1109,java:S1192,"Define a constant instead of duplicating this literal ""重试策略。"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,sdk/java/core/src/test/java/io/github/pinpols/batch/sdk/idempotent/SdkIdempotentHandlerTest.java,267,java:S1186,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/workflow/web/response/ConsoleWorkflowRunSkipNodeResponse.java,21,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""stringValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/file/infrastructure/query/ConsoleFileQueryService.java,192,java:S1192,"Define a constant instead of duplicating this literal ""step_status"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,sdk/java/core/src/test/java/io/github/pinpols/batch/sdk/idempotent/SdkIdempotentHandlerTest.java,264,java:S1186,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",OPEN,5min
CRITICAL,CODE_SMELL,batch-worker/core/src/main/java/io/github/pinpols/batch/worker/core/infrastructure/WorkerTaskLeaseRenewer.java,89,java:S3776,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,OPEN,10min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/excel/ConfigPackageExcelValidator.java,153,java:S1192,"Define a constant instead of duplicating this literal ""DISPATCH"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/infrastructure/DefaultConsoleBatchWindowApplicationService.java,57,java:S1192,"Define a constant instead of duplicating this literal ""window_code"" 3 times.",OPEN,8min
CRITICAL,VULNERABILITY,batch-worker/import/src/main/java/io/github/pinpols/batch/worker/imports/stage/PreprocessStep.java,,java:S5443,Make sure publicly writable directories are used safely here.,CLOSED,30min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/web/response/ConsoleBatchDayOperateResponse.java,17,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""integerValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/service/governance/DefaultFileGovernanceService.java,128,java:S1192,"Define a constant instead of duplicating this literal ""storageBucket"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/infrastructure/scheduler/BatchDaySettleScheduler.java,54,java:S1192,Use already-defined constant 'STATUS_IN_FLIGHT' instead of duplicating its value here.,OPEN,4min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/service/TencentSmsProvider.java,85,java:S3776,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,OPEN,10min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/web/response/ConsoleAlertRoutingResponse.java,65,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""instantValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/web/response/ConsoleCalendarResponse.java,38,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""stringValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/service/failure/FailureClassifier.java,77,java:S3776,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,OPEN,6min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/web/response/ConsoleSubscriptionRuleResponse.java,38,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""stringValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/notification/web/response/ConsoleAlertRoutingResponse.java,53,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""stringValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/job/web/response/ConsoleHolidayResponse.java,36,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""instantValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/domain/workflow/web/response/ConsolePipelineDefinitionListItemResponse.java,37,java:S3252,"Use static access with ""io.github.pinpols.batch.console.support.web.ConsoleResponseFieldReader"" for ""longValue"".",OPEN,5min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/config/ReplicaLagMonitor.java,132,java:S3776,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,OPEN,7min
CRITICAL,CODE_SMELL,batch-orchestrator/src/main/java/io/github/pinpols/batch/orchestrator/application/engine/TaskDispatchOutboxService.java,171,java:S1192,"Define a constant instead of duplicating this literal ""staticPartitionCount"" 3 times.",OPEN,8min
CRITICAL,CODE_SMELL,batch-console-api/src/main/java/io/github/pinpols/batch/console/infrastructure/config/TenantConfigInitApplyHandlers.java,395,java:S1192,"Define a constant instead of duplicating this literal ""pipeline_type"" 3 times.",OPEN,8min
